time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,MidLine,ImpulseMACD,ImpulseHisto,ImpulseMACDCDSignal,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1510086600,5.283,5.30175,5.283,5.30025,5.283,5.30175,5.283,5.30025,4.462439879302765,4.817839418136676,4.107040340468854,5.173238956970587,3.7516408016349425,5.528638495804498,3.3962412628010314,0,0.056954775464719276,-0.0003345579285518596,0.057289333393271136,69.47533380108433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510151400,5.295,5.29825,5.21275,5.23525,5.295,5.29825,5.21275,5.23525,4.464508712487479,4.821718692516829,4.107298732458129,5.17892867254618,3.7500887524287787,5.53613865257553,3.3928787723994285,0,0.044859589703719394,-0.008041544790147327,0.05290113449386672,51.39582998823433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510155000,5.2355,5.26125,5.23,5.23675,5.2355,5.26125,5.23,5.23675,4.465430205328855,4.823430324412833,4.107430086244877,5.181430443496811,3.749429967160899,5.5394305625807885,3.391429848076921,0,0.035443915285940264,-0.010308844865519383,0.04575276015145965,51.7081446279618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510158600,5.236,5.243,5.18225,5.21825,5.236,5.243,5.18225,5.21825,4.466654678086575,4.825639771189914,4.107669584983235,5.184624864293254,3.748684491879895,5.543609957396594,3.389699398776555,0,0.021764935131771246,-0.012257878242039055,0.0340228133738103,47.642076545708676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510162200,5.2155,5.222,5.1875,5.2015,5.2155,5.222,5.1875,5.2015,4.467462499527589,4.827078637779739,4.10784636127544,5.186694776031888,3.748230223023291,5.546310914284037,3.3886140847711417,0,0.009386866325732157,-0.0128117059220824,0.022198572247814557,44.24933914296946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510165800,5.19975,5.2115,5.19375,5.20925,5.19975,5.2115,5.19375,5.20925,4.467921726059389,4.827896217958773,4.107947234160005,5.1878707098581565,3.7479727422606217,5.54784520175754,3.387998250361238,0,0.0005438936670740802,-0.010021338041118414,0.010565231708192494,46.15979855184823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510169400,5.20875,5.23525,5.20525,5.2285,5.20875,5.23525,5.20525,5.2285,4.4686011942110895,4.829125283370581,4.108077105051598,5.189649372530072,3.747553015892107,5.550173461689563,3.387028926732616,0,0,-0.0033102533309354123,0.0033102533309354123,50.6806368144692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510173000,5.22875,5.2455,5.2235,5.22725,5.22875,5.2455,5.2235,5.22725,4.469372842471042,4.830530419218701,4.108215265723383,5.19168799596636,3.7470576889757243,5.552845572714019,3.3859001122280654,0,0,-0.00018129788902469338,0.00018129788902469338,50.384784032279164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510237800,5.1335,5.13925,5.075,5.1235,5.1335,5.13925,5.075,5.1235,4.4726977386067,4.835861754323902,4.109533722889498,5.199025770041104,3.7463697071722963,5.5621897857583065,3.3832056914550943,0,0,0,0,33.10887798419273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510241400,5.1235,5.12575,5.08975,5.10225,5.1235,5.12575,5.08975,5.10225,4.47380357469029,4.837612301950907,4.1099948474296735,5.201421029211524,3.7461861201690567,5.5652297564721405,3.38237739290844,0,-0.012127481273007668,-0.008084987515338444,-0.004042493757669223,30.78090304143518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510245000,5.103125,5.11075,5.0115,5.04325,5.103125,5.11075,5.0115,5.04325,4.475608870225406,4.840289632207673,4.110928108243138,5.204970394189941,3.746247346260871,5.569651156172208,3.3815665842786036,0,-0.03313972265972698,-0.01805065468214876,-0.015089067977578216,25.433756281349275,25.433756281349275,NaN,25.433756281349275,NaN,NaN,NaN,NaN,NaN
1510248600,5.04075,5.0815,5.0145,5.075,5.04075,5.0815,5.0145,5.075,4.477190496257366,4.842631744850209,4.111749247664523,5.208072993443052,3.7463079990716803,5.573514242035895,3.3808667504788374,0,-0.04800437579577288,-0.016913849219603705,-0.031090526576169175,32.254013013360705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510252200,5.07775,5.0885,5.0565,5.07425,5.07775,5.0885,5.0565,5.07425,4.478087829064909,4.843984141221637,4.11219151690818,5.209880453378365,3.746295204751452,5.575776765535093,3.380398892594724,0,-0.05718628244654855,-0.01107615547919908,-0.04611012696734947,32.17913831521936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510255800,5.07375,5.11975,5.07375,5.11525,5.07375,5.11975,5.07375,5.11525,4.479150602025837,4.845641142060921,4.112660061990753,5.212131682096005,3.746169521955669,5.578622222131089,3.379678981920585,0,-0.057001373729216986,-0.0029373630720375132,-0.05406401065717947,40.33348673511915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
